release_id,source_id,source_family_id,source_title,canonical_identifier,origin_kind,gold_layer,citation_keys,license_status,quality_status,notes
tpu-usable-2026-07-21-v1,source_mendeley_pufoam_v1,family_pufoam_2017,PUFoam: a novel open-source CFD solver for the simulation of expanding and reacting polyurethane foams,10.17632/62ggzx623g.1,模拟,Gold-C,ledger-161-karimi-2017-pufoam-data;ledger-162-karimi-2017-pufoam-paper,manual_review,降权,Mendeley Data固定version 1的PUFoam归档通过8252834 bytes与SHA-256核验；归档含3822个成员、3452个普通文件、331个目录及39个根内相对符号链接， 审计器不解包而直接流式读取。唯一二维mixing-cup算例覆盖0至50 s；主查询表接入50×5=250个官方cellSource体积平均值， 以及时间1至50 s的52个OpenFOAM标量场均值/极值/总体标准差8764个，共9014个Gold-C过程数值。 论文以12组mixing-cup实验对模型的密度和温度进行比较验证，但这不等于全部52个场及其派生统计都获得逐字段实验验证；字段级准入、单位状态和潜在上限分别保存。 4293个单位与字段语义闭合值进入正式参考；4721个PBE矩、nodes/weights、Psi等物理语义未闭合值进入条件参考而不删除。 归档没有12套独立计算输入，故计算体系数严格为1；50个轨迹帧只提高过程分辨率。 通用NCO/OH/水与n-pentane工艺身份可用于发泡动力学、密度、泡群和过程窗口迁移；原料化学结构未闭合，不进入Gold-V结构监督， 也不直接监督线性TPU拉伸性能。GPLv3按Mendeley数据集页记录；软件代码、数值数据和训练/再分发边界在使用前仍需逐动作复核。
tpu-usable-2026-07-21-v1,source_zenodo_11612378_purgen_fragments,family_purgen_virtual_fragments,PUR-GEN聚氨酯虚拟片段库,10.5281/zenodo.11612378,虚拟候选,Gold-V,ledger-130-szleper-2024-purgen-data;ledger-131-szleper-2024-purgen,manual_review,仅验证,414个2–4单元聚氨酯片段全部通过RDKit结构解析并进入Gold-V科学参考；54个片段缺描述符行且数据集未声明许可证，当前不物化训练权重且不公开原始文件，不作为实验性质真值。
tpu-usable-2026-07-21-v1,source_github_radonpy_pi1070_840dd4a,family_radonpy_pi1070,RadonPy PI1070高通量聚合物DFT与分子动力学固定数据,https://github.com/RadonPy/RadonPy/tree/840dd4a2b5f261fc9370bb6786eff0b71a463d2f/data,模拟,Gold-C,ledger-145-hayashi-radonpy-pi1070-data;ledger-146-hayashi-2022-radonpy,allow_with_attribution,降权,固定RadonPy提交中的PI1070.csv实含1077个唯一聚合物重复单元和157列DFT/MD/NEMD字段； 其中11个polymer_class=11聚氨酯重复单元字段完整，展开为440条带单位与方法身份的Gold-C计算观测， 其中198条为主要MD性质目标。它们是无定形聚氨酯均聚重复单元，不是分段TPU完整配方，也没有拉伸强度、 断裂伸长率、韧性或循环恢复标签。其余1066个非PU聚合物保持Gold-C迁移条件参考身份， 可用于通用聚合物表示预训练但不得冒充PU/TPU新材料。当前不创建训练集或逐条权重；未建立同QoI实验映射前项目潜在上限为0.20。
tpu-usable-2026-07-21-v1,source_sheffield_21510876_v1,family_sheffield_pu_rational_design,PU Rational Design Data,10.15131/shef.data.21510876.v1,实验,Gold-E,ledger-147-wright-2022-pu-rational-design-data;ledger-148-wright-2022-rational-pu-foam,allow_with_attribution,降权,Sheffield官方CC BY 4.0数据将23个筛选配方和16个最终DoE配方闭合到FoamPi绝热温升/泡高动力学、 异氰酸酯转化率、泡孔面积与直径、气流、有效开孔率、密度、WDPT、持水量和毛细输运。 40个实验批次只对应39个唯一配方，F05-34是F05-13的配方对照重复并共享泄漏组。 155条数值曲线共63132个点，其中151条PU曲线正式参考；764条标量中723条正式、32条毛细重拟合参数条件参考， 9条Rockwool标量与4条曲线仅作外部证据。商业原料只有产品级身份和PPHP，没有单体SMILES或批次Mn/Mw， 因此可用于泡沫配方—工艺—性能迁移和主动学习，不用于线性TPU精确结构监督。 ATR字段表示adiabatic temperature rise而非ATR-FTIR；表面活性剂命名冲突和毛细参数量纲问题均保留QA标志。
tpu-usable-2026-07-21-v1,source_figshare_31550614_sls_tpu_lattice,family_sls_tpu_lattice_cushion_process,SLS工艺参数—TPU晶格坐垫性能逐试件数据,10.6084/m9.figshare.31550614.v1,实验,Gold-E,ledger-140-seong-2026-sls-tpu-lattice-data;ledger-141-seong-2026-sls-tpu-lattice,allow_with_attribution,降权,25个L25工况乘3重复形成75个真实SLS试件，公开Load@25%、Load@65%、SAG、HLR和Weight共375条逐试件端点； 其中300条性能端点单位闭合并进入Gold-E正式参考，75条Weight因原文未声明单位进入条件参考。 数据只代表一个商业TPU01GR和固定Kelvin晶格，不是25种配方；用于工艺—性能迁移时来源上限0.35， SAG因近似依赖两载荷降至0.15，Weight在单位闭合前至多0.10，SMILES或化学结构任务权重为0。 面能量密度LP除以SS和HD与含0.1毫米层厚的体积能量密度分别保存，禁止混用。
tpu-usable-2026-07-21-v1,ds_smipoly_monomers,family_smipoly,SMiPoly公开单体示例,local-export:smipoly_monomers.csv,虚拟候选,Gold-V,ledger-007-smipoly-2023,allow_with_attribution,仅验证,"1,083 条来源记录规范化为 1,071 个候选结构；候选不是实验性能标签。"
tpu-usable-2026-07-21-v1,source_zenodo_6406174,family_solventfree_pu_kinetics,TERMINUS WP5: Chain Extension Kinetics for Solvent-Free Adhesive Components,10.5281/zenodo.6406174,实验,Gold-E,ledger-159-asadauskas-2022-solventfree-pu-kinetics-data;ledger-160-asadauskas-2023-solventless-pu-kinetics,allow_with_attribution,降权,Zenodo CC BY 4.0数据集给出4种宏二醇、2种二异氰酸酯在21个摩尔比—温度条件下的二丁胺滴定链增长动力学； 34个测量列产生171个非空%NCO点，其中169个时间闭合正式参考，2个缺失时间点不插补并作conditional参考。 23个实测零值保留，但论文TTS拟合排除零值；理论初始%NCO与实测点分列。该来源可约束合成可行性、反应温度与时间窗， 不直接监督TPU拉伸、韧性或DMA性能；当前不创建训练权重或拆分。
tpu-usable-2026-07-21-v1,source_nature_spore_filled_tpu_source_data,family_spore_filled_tpu_biocomposite,孢子填充商业TPU原始力学与多模态源数据,doi:10.1038/s41467-024-47132-8#source-data,实验,Gold-E,ledger-134-kim-2024-spore-filled-tpu,allow_with_attribution,入选,BASF Elastollan BCF45聚酯TPU与WT/HST孢子0–1wt%共12条件×3重复；完整工艺与拉伸协议支持高权重配方/曲线任务，缺SMILES与硬段含量时分子结构任务权重为0。
tpu-usable-2026-07-21-v1,ledger_source_106,family_tpu_dual_phase_evolution,Capturing Robust and Tough Thermoplastic Polyurethane Elastomers via Engineering Dual-Phase Evolution Rather than Chain Extenders,doi:10.1021/acsmaterialslett.5c00732.s001,混合,Gold-E+Gold-C,ledger-106-lu-2025-dual-phase-tpu-si,manual_review,降权,95条实验表值+5条MD内聚能；D0C4原文211194异常值原样条件保留，机械图线仍仅作证据；CC BY-NC 4.0隔离
tpu-usable-2026-07-21-v1,ledger_source_034,family_tpu_literature,Literature Database in Mechanical Characteristic of Thermoplastic Polyurethane,doi:10.17632/ftntxg4zdz.1,实验,Gold-E,ledger-034-viccica-2023-tpu-literature,allow_with_attribution,仅验证,62条FDM、SLS、MJF或注塑TPU文献/商业数据表汇总，含186个硬度、强度和伸长率数值； 没有原始试样、配方、牌号化学结构和完整测试协议，因此进入Gold-E条件参考并按45个引用组防泄漏， 后续经原论文解析后单任务权重上限可升至0.10–0.20，化学结构任务保持0。
