gold_layer,task_id,target_name,unit,configured_role,rows_total,rows_model_ready,rows_finite_valid_structure_positive_weight,invalid_or_missing_structure_rows,structure_identity_statuses,citation_keys,source_ids,valid_rows_with_exactly_two_stars,hard_groups_train,hard_groups_validation,hard_groups_test,primary_hard_groups_train,primary_hard_groups_validation,primary_hard_groups_test,source_family_count,eligible_leave_one_source_family_out_count,fair_primary_evaluation,training_status,status_reason,multifidelity_pairing_status,structure_applicability_warning
Gold-C,计算_结构多任务预训练,TC_angle,W/(m*K),not_configured,5314,5314,5314,0,exact_polymer_smiles,ledger-020-polyomics-2025;ledger-145-hayashi-radonpy-pi1070-data;ledger-146-hayashi-2022-radonpy;ledger-151-hayashi-2026-polyomics-data,source_github_radonpy_pi1070_840dd4a;source_polyomics_data,5314,4224,510,498,2026,247,254,2,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,TC_bond,W/(m*K),not_configured,5314,5314,5314,0,exact_polymer_smiles,ledger-020-polyomics-2025;ledger-145-hayashi-radonpy-pi1070-data;ledger-146-hayashi-2022-radonpy;ledger-151-hayashi-2026-polyomics-data,source_github_radonpy_pi1070_840dd4a;source_polyomics_data,5314,4224,510,498,2026,247,254,2,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,TC_dihed,W/(m*K),not_configured,5314,5314,5314,0,exact_polymer_smiles,ledger-020-polyomics-2025;ledger-145-hayashi-radonpy-pi1070-data;ledger-146-hayashi-2022-radonpy;ledger-151-hayashi-2026-polyomics-data,source_github_radonpy_pi1070_840dd4a;source_polyomics_data,5314,4224,510,498,2026,247,254,2,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,TC_fix,source_native_unit_unresolved,not_configured,5303,0,0,0,,ledger-020-polyomics-2025;ledger-151-hayashi-2026-polyomics-data,,0,0,0,0,0,0,0,0,0,False,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,TC_improper,W/(m*K),not_configured,5314,5314,5314,0,exact_polymer_smiles,ledger-020-polyomics-2025;ledger-145-hayashi-radonpy-pi1070-data;ledger-146-hayashi-2022-radonpy;ledger-151-hayashi-2026-polyomics-data,source_github_radonpy_pi1070_840dd4a;source_polyomics_data,5314,4224,510,498,2026,247,254,2,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,TC_ke,W/(m*K),not_configured,5314,5314,5314,0,exact_polymer_smiles,ledger-020-polyomics-2025;ledger-145-hayashi-radonpy-pi1070-data;ledger-146-hayashi-2022-radonpy;ledger-151-hayashi-2026-polyomics-data,source_github_radonpy_pi1070_840dd4a;source_polyomics_data,5314,4224,510,498,2026,247,254,2,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,TC_kspace,W/(m*K),not_configured,5314,5314,5314,0,exact_polymer_smiles,ledger-020-polyomics-2025;ledger-145-hayashi-radonpy-pi1070-data;ledger-146-hayashi-2022-radonpy;ledger-151-hayashi-2026-polyomics-data,source_github_radonpy_pi1070_840dd4a;source_polyomics_data,5314,4224,510,498,2026,247,254,2,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,TC_pair,W/(m*K),not_configured,5314,5314,5314,0,exact_polymer_smiles,ledger-020-polyomics-2025;ledger-145-hayashi-radonpy-pi1070-data;ledger-146-hayashi-2022-radonpy;ledger-151-hayashi-2026-polyomics-data,source_github_radonpy_pi1070_840dd4a;source_polyomics_data,5314,4224,510,498,2026,247,254,2,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,TC_pe,W/(m*K),not_configured,5314,5314,5314,0,exact_polymer_smiles,ledger-020-polyomics-2025;ledger-145-hayashi-radonpy-pi1070-data;ledger-146-hayashi-2022-radonpy;ledger-151-hayashi-2026-polyomics-data,source_github_radonpy_pi1070_840dd4a;source_polyomics_data,5314,4224,510,498,2026,247,254,2,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,TPSA_Boltzmann_average,angstrom^2,not_configured,47676,47676,47676,0,rdkit_validated_methyl_terminated_constitutional_repeat_unit,ledger-152-kim-2023-omg-v1-0b-data;ledger-153-kim-2023-open-macromolecular-genome;ledger-154-kim-2024-omg-property-database;ledger-155-kim-2025-functional-monomer-design,source_omg_batch10,0,38092,4799,4755,1660,227,197,1,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,Tc,W/(m*K),not_configured,1404,1404,1404,0,rdkit_validated_polymer_psmiles,ledger-156-liu-2025-open-polymer-challenge-data;ledger-157-liu-2025-open-polymer-challenge-report,source_openpolymer_challenge_v1,1404,1106,152,146,96,8,13,1,0,False,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,abbe_number_sos,source_native_unit_unresolved,not_configured,1022,0,0,0,,ledger-020-polyomics-2025;ledger-151-hayashi-2026-polyomics-data,,0,0,0,0,0,0,0,0,0,False,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,asphericity_Boltzmann_average,unitless,not_configured,47676,47676,47676,0,rdkit_validated_methyl_terminated_constitutional_repeat_unit,ledger-152-kim-2023-omg-v1-0b-data;ledger-153-kim-2023-open-macromolecular-genome;ledger-154-kim-2024-omg-property-database;ledger-155-kim-2025-functional-monomer-design,source_omg_batch10,0,38092,4799,4755,1660,227,197,1,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,chi_parameter_chloroform_mean,unitless,not_configured,47676,47676,47676,0,rdkit_validated_methyl_terminated_constitutional_repeat_unit,ledger-152-kim-2023-omg-v1-0b-data;ledger-153-kim-2023-open-macromolecular-genome;ledger-154-kim-2024-omg-property-database;ledger-155-kim-2025-functional-monomer-design,source_omg_batch10,0,38092,4799,4755,1660,227,197,1,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,chi_parameter_ethanol_mean,unitless,not_configured,47676,47676,47676,0,rdkit_validated_methyl_terminated_constitutional_repeat_unit,ledger-152-kim-2023-omg-v1-0b-data;ledger-153-kim-2023-open-macromolecular-genome;ledger-154-kim-2024-omg-property-database;ledger-155-kim-2025-functional-monomer-design,source_omg_batch10,0,38092,4799,4755,1660,227,197,1,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,chi_parameter_water_mean,unitless,not_configured,47676,47676,47676,0,rdkit_validated_methyl_terminated_constitutional_repeat_unit,ledger-152-kim-2023-omg-v1-0b-data;ledger-153-kim-2023-open-macromolecular-genome;ledger-154-kim-2024-omg-property-database;ledger-155-kim-2025-functional-monomer-design,source_omg_batch10,0,38092,4799,4755,1660,227,197,1,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,compressibility,1/Pa,not_configured,6597,6597,6597,0,exact_polymer_smiles,ledger-020-polyomics-2025;ledger-145-hayashi-radonpy-pi1070-data;ledger-146-hayashi-2022-radonpy;ledger-151-hayashi-2026-polyomics-data,source_github_radonpy_pi1070_840dd4a;source_polyomics_data,6597,5177,651,619,2604,328,332,2,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,dielectric_const_dc,dimensionless,not_configured,6239,6239,6239,0,exact_polymer_smiles,ledger-020-polyomics-2025;ledger-145-hayashi-radonpy-pi1070-data;ledger-146-hayashi-2022-radonpy;ledger-151-hayashi-2026-polyomics-data,source_github_radonpy_pi1070_840dd4a;source_polyomics_data,6239,4898,609,584,2585,324,327,2,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,dipole_moment_Boltzmann_average,e*a0,not_configured,47676,47676,47676,0,rdkit_validated_methyl_terminated_constitutional_repeat_unit,ledger-152-kim-2023-omg-v1-0b-data;ledger-153-kim-2023-open-macromolecular-genome;ledger-154-kim-2024-omg-property-database;ledger-155-kim-2025-functional-monomer-design,source_omg_batch10,0,38092,4799,4755,1660,227,197,1,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,dominant_transition_energy_Boltzmann_average,eV,not_configured,47676,47676,47676,0,rdkit_validated_methyl_terminated_constitutional_repeat_unit,ledger-152-kim-2023-omg-v1-0b-data;ledger-153-kim-2023-open-macromolecular-genome;ledger-154-kim-2024-omg-property-database;ledger-155-kim-2025-functional-monomer-design,source_omg_batch10,0,38092,4799,4755,1660,227,197,1,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,dominant_transition_oscillator_strength_Boltzmann_average,unitless,not_configured,47676,47676,47676,0,rdkit_validated_methyl_terminated_constitutional_repeat_unit,ledger-152-kim-2023-omg-v1-0b-data;ledger-153-kim-2023-open-macromolecular-genome;ledger-154-kim-2024-omg-property-database;ledger-155-kim-2025-functional-monomer-design,source_omg_batch10,0,38092,4799,4755,1660,227,197,1,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,eccentricity_Boltzmann_average,unitless,not_configured,47676,47676,47676,0,rdkit_validated_methyl_terminated_constitutional_repeat_unit,ledger-152-kim-2023-omg-v1-0b-data;ledger-153-kim-2023-open-macromolecular-genome;ledger-154-kim-2024-omg-property-database;ledger-155-kim-2025-functional-monomer-design,source_omg_batch10,0,38092,4799,4755,1660,227,197,1,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,efdp_dielectric_loss_tan,source_native_unit_unresolved,not_configured,121,0,0,0,,ledger-020-polyomics-2025;ledger-151-hayashi-2026-polyomics-data,,0,0,0,0,0,0,0,0,0,False,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,efdp_permittivity_imaginary,source_native_unit_unresolved,not_configured,121,0,0,0,,ledger-020-polyomics-2025;ledger-151-hayashi-2026-polyomics-data,,0,0,0,0,0,0,0,0,0,False,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,efdp_permittivity_real,source_native_unit_unresolved,not_configured,121,0,0,0,,ledger-020-polyomics-2025;ledger-151-hayashi-2026-polyomics-data,,0,0,0,0,0,0,0,0,0,False,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,inertial_shape_factor_Boltzmann_average,angstrom^-2 g^-1 mol,not_configured,47676,47676,47676,0,rdkit_validated_methyl_terminated_constitutional_repeat_unit,ledger-152-kim-2023-omg-v1-0b-data;ledger-153-kim-2023-open-macromolecular-genome;ledger-154-kim-2024-omg-property-database;ledger-155-kim-2025-functional-monomer-design,source_omg_batch10,0,38092,4799,4755,1660,227,197,1,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,isentropic_bulk_modulus,Pa,not_configured,6597,6597,6597,0,exact_polymer_smiles,ledger-020-polyomics-2025;ledger-145-hayashi-radonpy-pi1070-data;ledger-146-hayashi-2022-radonpy;ledger-151-hayashi-2026-polyomics-data,source_github_radonpy_pi1070_840dd4a;source_polyomics_data,6597,5177,651,619,2604,328,332,2,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,isentropic_compressibility,1/Pa,not_configured,6597,6597,6597,0,exact_polymer_smiles,ledger-020-polyomics-2025;ledger-145-hayashi-radonpy-pi1070-data;ledger-146-hayashi-2022-radonpy;ledger-151-hayashi-2026-polyomics-data,source_github_radonpy_pi1070_840dd4a;source_polyomics_data,6597,5177,651,619,2604,328,332,2,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,linear_expansion,1/K,not_configured,6597,6597,6597,0,exact_polymer_smiles,ledger-020-polyomics-2025;ledger-145-hayashi-radonpy-pi1070-data;ledger-146-hayashi-2022-radonpy;ledger-151-hayashi-2026-polyomics-data,source_github_radonpy_pi1070_840dd4a;source_polyomics_data,6597,5177,651,619,2604,328,332,2,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,logP_Boltzmann_average,unitless,not_configured,47676,47676,47676,0,rdkit_validated_methyl_terminated_constitutional_repeat_unit,ledger-152-kim-2023-omg-v1-0b-data;ledger-153-kim-2023-open-macromolecular-genome;ledger-154-kim-2024-omg-property-database;ledger-155-kim-2025-functional-monomer-design,source_omg_batch10,0,38092,4799,4755,1660,227,197,1,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,molecular_weight_Boltzmann_average,g mol^-1,not_configured,47676,47676,47676,0,rdkit_validated_methyl_terminated_constitutional_repeat_unit,ledger-152-kim-2023-omg-v1-0b-data;ledger-153-kim-2023-open-macromolecular-genome;ledger-154-kim-2024-omg-property-database;ledger-155-kim-2025-functional-monomer-design,source_omg_batch10,0,38092,4799,4755,1660,227,197,1,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,nematic_order_parameter,dimensionless,not_configured,6599,6599,6599,0,exact_polymer_smiles,ledger-020-polyomics-2025;ledger-145-hayashi-radonpy-pi1070-data;ledger-146-hayashi-2022-radonpy;ledger-151-hayashi-2026-polyomics-data,source_github_radonpy_pi1070_840dd4a;source_polyomics_data,6599,5178,651,619,2604,328,332,2,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,normalized_backbone_phi_Boltzmann_average,unitless,not_configured,47676,47676,47676,0,rdkit_validated_methyl_terminated_constitutional_repeat_unit,ledger-152-kim-2023-omg-v1-0b-data;ledger-153-kim-2023-open-macromolecular-genome;ledger-154-kim-2024-omg-property-database;ledger-155-kim-2025-functional-monomer-design,source_omg_batch10,0,38092,4799,4755,1660,227,197,1,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,normalized_monomer_phi_Boltzmann_average,unitless,not_configured,47676,47676,47676,0,rdkit_validated_methyl_terminated_constitutional_repeat_unit,ledger-152-kim-2023-omg-v1-0b-data;ledger-153-kim-2023-open-macromolecular-genome;ledger-154-kim-2024-omg-property-database;ledger-155-kim-2025-functional-monomer-design,source_omg_batch10,0,38092,4799,4755,1660,227,197,1,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,polarizability_Boltzmann_average,a0^3,not_configured,47676,47676,47676,0,rdkit_validated_methyl_terminated_constitutional_repeat_unit,ledger-152-kim-2023-omg-v1-0b-data;ledger-153-kim-2023-open-macromolecular-genome;ledger-154-kim-2024-omg-property-database;ledger-155-kim-2025-functional-monomer-design,source_omg_batch10,0,38092,4799,4755,1660,227,197,1,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,qed_Boltzmann_average,unitless,not_configured,47676,47676,47676,0,rdkit_validated_methyl_terminated_constitutional_repeat_unit,ledger-152-kim-2023-omg-v1-0b-data;ledger-153-kim-2023-open-macromolecular-genome;ledger-154-kim-2024-omg-property-database;ledger-155-kim-2025-functional-monomer-design,source_omg_batch10,0,38092,4799,4755,1660,227,197,1,0,True,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,qm_dipole_monomer,debye,not_configured,11,11,11,0,exact_polymer_smiles,ledger-145-hayashi-radonpy-pi1070-data;ledger-146-hayashi-2022-radonpy,source_github_radonpy_pi1070_840dd4a,11,7,2,2,7,2,2,1,0,False,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,qm_dipole_x_monomer,debye,not_configured,11,11,11,0,exact_polymer_smiles,ledger-145-hayashi-radonpy-pi1070-data;ledger-146-hayashi-2022-radonpy,source_github_radonpy_pi1070_840dd4a,11,7,2,2,7,2,2,1,0,False,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,qm_dipole_y_monomer,debye,not_configured,11,11,11,0,exact_polymer_smiles,ledger-145-hayashi-radonpy-pi1070-data;ledger-146-hayashi-2022-radonpy,source_github_radonpy_pi1070_840dd4a,11,7,2,2,7,2,2,1,0,False,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,qm_dipole_z_monomer,debye,not_configured,11,11,11,0,exact_polymer_smiles,ledger-145-hayashi-radonpy-pi1070-data;ledger-146-hayashi-2022-radonpy,source_github_radonpy_pi1070_840dd4a,11,7,2,2,7,2,2,1,0,False,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,qm_homo_monomer,eV,not_configured,11,11,11,0,exact_polymer_smiles,ledger-145-hayashi-radonpy-pi1070-data;ledger-146-hayashi-2022-radonpy,source_github_radonpy_pi1070_840dd4a,11,7,2,2,7,2,2,1,0,False,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,qm_lumo_monomer,eV,not_configured,11,11,11,0,exact_polymer_smiles,ledger-145-hayashi-radonpy-pi1070-data;ledger-146-hayashi-2022-radonpy,source_github_radonpy_pi1070_840dd4a,11,7,2,2,7,2,2,1,0,False,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,qm_polarizability_monomer,angstrom^3,not_configured,11,11,11,0,exact_polymer_smiles,ledger-145-hayashi-radonpy-pi1070-data;ledger-146-hayashi-2022-radonpy,source_github_radonpy_pi1070_840dd4a,11,7,2,2,7,2,2,1,0,False,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,qm_polarizability_xx_monomer,angstrom^3,not_configured,11,11,11,0,exact_polymer_smiles,ledger-145-hayashi-radonpy-pi1070-data;ledger-146-hayashi-2022-radonpy,source_github_radonpy_pi1070_840dd4a,11,7,2,2,7,2,2,1,0,False,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
Gold-C,计算_结构多任务预训练,qm_polarizability_xy_monomer,angstrom^3,not_configured,11,11,11,0,exact_polymer_smiles,ledger-145-hayashi-radonpy-pi1070-data;ledger-146-hayashi-2022-radonpy,source_github_radonpy_pi1070_840dd4a,11,7,2,2,7,2,2,1,0,False,audited_not_configured,本轮未选为基线目标；保留原始标签口径,not_established,"pSMILES/repeat-unit association baseline; not a closed formulation, molecular-weight or process model"
