source_id,source_scope_id,source_family_id,source_directory,source_title,canonical_identifier,task,origin_kind,scientific_role,gold_layer,gold_admission_status,source_record_count,material_count,formulation_count,batch_count,specimen_count,run_count,curve_count_observed,curve_count_candidate,scalar_count_observed,scalar_count_candidate,point_count_observed,point_count_candidate,numeric_value_count,evidence_group_count,computational_system_count,source_identity_count_contribution,direct_numeric_total,complete_direct_response_count,valid_derived_scalar_count,invalid_cached_formula_count,known_missing_direct_count,quality_status,weight_ceiling,current_weight_materialized,model_ready_record_count,unit_status,license_status,dedup_status,split_group_status,completeness,citation_keys,audit_basis,notes
ledger_source_104,scope_acs_figshare_28906446_v1,family_tpu_hard_segment_aggregation,ACS_Figshare_TPU退火硬段聚集,Manipulating the Mechanical Properties of Thermoplastic Polyurethane via Regulating Hard Segment Aggregation,doi:10.1021/acs.macromol.5c00142.s001,退火—硬段聚集—性能证据,证据,证据,Not-Gold,evidence_only,3,,,,,21,0,0,0,0,0,0,0,3,0,1,,,,,,仅验证,0.0,False,0,不适用,manual_review,不适用,粗粒度来源家族,source_aggregate_plus_evidence_groups,ledger-104-wang-2025-hard-segment-aggregation-si,数据/原始/外部数据/新增开放数据/ACS_Figshare_TPU退火硬段聚集/内容审计摘要.json,21 个退火温度—时间条件仅作证据
source_agh_lkhz6q,scope_agh_lkhz6q_v1,family_agh_biopolyol_rpuf,AGH_低石化多元醇硬质PU泡沫,降低石化多元醇含量的硬质聚氨酯泡沫数据,doi:10.58032/AGH/LKHZ6Q,生物基硬质PU泡沫候选元数据,证据,证据,Not-Gold,evidence_only,1,,,,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,隔离,0.0,False,0,未解析,blocked_access,未知,粗粒度来源家族,metadata_only,ledger-068-zakrzewska-2026-rpuf-data,数据/原始/外部数据/新增开放数据/AGH_低石化多元醇硬质PU泡沫/内容审计摘要.json,8/9 远端文件受限；本地测量单元为0
source_bath_00385,scope_bath_00385_dataset,family_bath_commercial_pu_foams,Bath_多牌号PU泡沫多模态表征,三种商用聚氨酯泡沫多模态力学与表征数据,doi:10.15125/BATH-00385,商业PU泡沫多模态迁移候选,证据,证据,Not-Gold,evidence_only,10,3,,,,,,0,,0,,0,0,1,0,1,,,,,,隔离,0.0,False,0,未解析,evidence_missing,未知,粗粒度来源家族,metadata_only,ledger-085-dams-2017-pu-foam-data,数据/原始/外部数据/新增开放数据/Bath_多牌号PU泡沫多模态表征/内容审计摘要.json,3 个牌号、10 个远端XLSX；本地原始工作簿为0
source_drum_zf53w893,scope_drum_zf53w893_dataset,family_drum_low_ceiling_tpuu,DRUM_TPUU_低天花板,低天花板温度聚合物TPUU原始数据,doi:10.13020/zf53-w893,低天花板TPUU力学/耗散/回收,实验,TPU核心,Gold-E,admitted_reference,28,4,4,4,28,28,28,28,0,0,113060,113060,679549,0,0,1,,,,,,入选,1.0,False,0,已解析,manual_review,已核验无曲线重复,配方批次试样键完整,source_aggregate_plus_record_curves,ledger-055-meyersohn-2024-low-ceiling-tpuu-data;ledger-056-meyersohn-2024-low-ceiling-tpuu,数据/原始/外部数据/新增开放数据/DRUM_TPUU_低天花板/内容审计摘要.json;数据/原始/外部数据/新增开放数据/DRUM_TPUU_低天花板/曲线审计清单.tsv,4个材料代码定量配方仍需正文/SI解码
source_drum_05ek6k60,scope_drum_05ek6k60_dataset,family_drum_recyclable_tpuu,DRUM_TPUU_机械回收,可机械竞争且可化学回收TPUU原始数据,doi:10.13020/05ek-6k60,可回收TPUU力学/耗散/回收,实验,TPU核心,Gold-E,admitted_reference,158,26,26,27,158,158,158,157,0,0,779948,,3140322,0,0,1,,,,,,入选,1.0,False,0,部分已解析,manual_review,已核验无曲线重复,配方批次试样键完整,source_aggregate_plus_record_curves,ledger-053-pfau-cloud-2024-recyclable-tpuu-data;ledger-054-batiste-2024-recyclable-tpuu,数据/原始/外部数据/新增开放数据/DRUM_TPUU_机械回收/内容审计摘要.json;数据/原始/外部数据/新增开放数据/DRUM_TPUU_机械回收/曲线审计清单.tsv,148条核心TPUU曲线；9条对照/桥接曲线降权，1条橡皮筋对照置零
source_figshare_14279117_v1,scope_figshare_14279117_v1,family_castor_aliphatic_pu,Figshare_蓖麻油脂肪族PU化学性能,蓖麻油与脂肪族二异氰酸酯聚氨酯化学性能图表数据,doi:10.6084/m9.figshare.14279117.v1,生物基PU配方/性能候选,证据,证据,Not-Gold,evidence_only,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,隔离,0.0,False,0,未解析,manual_review,未知,粗粒度来源家族,metadata_only_broken_local_file,ledger-073-uscategui-2021-castor-pu-data;ledger-074-uscategui-2021-castor-pu,数据/原始/外部数据/新增开放数据/Figshare_蓖麻油脂肪族PU化学性能/内容审计摘要.json,目标Table_1.xls本地为0字节，不能伪造记录
source_figshare_31552786_v1,scope_figshare_31552786_v1,family_pu_atom_economy_upcycling,Figshare_热固PU原子经济升级回收,商品热固性聚氨酯原子经济升级回收源数据,doi:10.6084/m9.figshare.31552786.v1,热固PU解聚/再生/黏接迁移,实验,迁移,Gold-E,admitted_reference,28,1,3,3,,9,,,,,,,5423004,0,0,1,,,,,,降权,0.25,False,0,部分已解析,manual_review,已建立跨表血缘,粗粒度来源家族,source_aggregate_workbook,ledger-069-zhu-2026-pu-upcycling-data;ledger-070-huang-2026-pu-upcycling,数据/原始/外部数据/新增开放数据/Figshare_热固PU原子经济升级回收/数据审计摘要.json,数值单元不能当配方或试样；公开表主要是批次汇总
source_figshare_21716516_v1,scope_figshare_21716516_v1,family_shpu_iontronic_adhesive,Figshare_自愈离子胶黏PU源数据,自愈离子胶黏超分子聚氨酯源数据,doi:10.6084/m9.figshare.21716516.v1,自愈/界面/器件多任务迁移,实验,迁移,Gold-E,admitted_reference,18,4,3,,,,,,,,,,143915,0,0,1,,,,,,降权,0.2,False,0,部分已解析,manual_review,部分已核验,粗粒度来源家族,source_aggregate_workbook,ledger-071-gao-2022-shpu-source-data;ledger-072-gao-2023-iontronic-adhesives,数据/原始/外部数据/新增开放数据/Figshare_自愈离子胶黏PU源数据/内容审计摘要.json,明确PE10/GY3/GY5/GY7标签但多材料器件体系不可按单元格计样本
ledger_source_048,scope_figshare23635998_v1,family_relaxation,Figshare_PU高低速变形后应力松弛,Data from Stress Relaxation after Low- and High-Rate Deformation of Polyurethanes,doi:10.6084/m9.figshare.23635998.v1,PU温度/速率/松弛迁移,混合,迁移,Gold-E+Gold-C,admitted_reference,108,2,,,,38,108,108,0,0,1459510,1459510,1459510,0,0,1,,,,,,降权,0.25,False,0,部分已解析,manual_review,需进一步视图去重,粗粒度来源家族,source_aggregate_plus_record_curves,ledger-048-commins-2023-relaxation-data,数据/原始/外部数据/新增开放数据/Figshare_PU高低速变形后应力松弛/内容审计摘要.json;数据/原始/外部数据/新增开放数据/Figshare_PU高低速变形后应力松弛/曲线审计清单.tsv,108条曲线实例无物理试样ID；四个高密度视图占92%
source_jagiellonian_tyapfm,scope_jagiellonian_tyapfm_dataset,family_hard_segment_aimd,Jagiellonian_硬段从头算MD,聚氨酯弹性体硬段从头算MD原始数据,doi:10.57903/UJ/TYAPFM,硬段量化/AIMD表示与氢键机理,模拟,迁移,Gold-C,admitted_reference,4,0,0,0,0,4,0,0,0,0,466,0,466,0,4,1,,,,,,降权,0.15,False,0,坐标单位未解析,manual_review,已核验,体系协议键可用,source_aggregate_plus_system_records,ledger-061-didovets-2026-hard-segment-aimd-data;ledger-062-didovets-2025-hard-segment-aimd,数据/原始/外部数据/新增开放数据/Jagiellonian_硬段从头算MD/内容审计摘要.json;数据/原始/外部数据/新增开放数据/Jagiellonian_硬段从头算MD/XYZ解析清单.tsv,4个体系仅可作拓扑/尺度不变表示，绝对几何QoI当前为0
source_materialscloud_vf_ry,scope_materialscloud_vf_ry_dataset,family_materialscloud_puf_mechanics,MaterialsCloud_商用PU泡沫多轴断裂力学,商用聚氨酯泡沫多轴弹性与断裂原始数据,doi:10.24435/materialscloud:VF-RY,PU泡沫多轴/DIC/断裂迁移,实验,迁移,Gold-E,admitted_reference,74,1,,1,37,37,74,74,0,0,54416,54357,54416,0,0,1,,,,,,降权,0.3,False,0,已解析,manual_review,同试样双通道已绑定,试样键可用,source_aggregate_plus_grouped_curves,ledger-081-rezaei-2026-pu-foam-data,数据/原始/外部数据/新增开放数据/MaterialsCloud_商用PU泡沫多轴断裂力学/内容审计摘要.json;数据/原始/外部数据/新增开放数据/MaterialsCloud_商用PU泡沫多轴断裂力学/曲线审计清单.tsv,37试样对应机器与DIC各37条，不能写成37配方
ledger_source_046,scope_mendeley_byjbmymyhh_v5,family_supermolecular,Mendeley_热可逆超分子PU宽应变率,Mechanical Characterisation and Modelling of a Thermoreversible Superamolecular Polyurethane over a Wide Range of Rates,doi:10.17632/byjbmymyhh.5,PU速率/松弛/DMA流变迁移,实验,迁移,Gold-E,conditional_reference,19,1,1,,,19,19,0,0,0,35919,0,35919,0,0,1,,,,,,仅验证,0.0,False,0,部分已解析,manual_review,同源伴随关系已登记,粗粒度来源家族,source_aggregate_partial_parse,ledger-046-chen-2021-supermolecular-raw,数据/原始/外部数据/新增开放数据/Mendeley_热可逆超分子PU宽应变率/内容审计摘要.json,"19个直接采集与35,919同步点；24 OPJ/3 OPJU/1 MNOVA未解析，当前机械标签为0"
ledger_source_092,scope_mendeley_hc6npzvw3m_v1,family_commercial_tpu_temperature_fatigue,Mendeley_商业TPU温度疲劳多工况,Internship_CSM_XSTRMLAB_Sandor_Habets_2024,doi:10.17632/hc6npzvw3m.1,商业TPU温度/速率/疲劳与恢复,实验,迁移,Gold-E,admitted_reference,196,5,,,190,196,196,196,0,0,333492,333492,333492,0,0,1,,,,,,降权,0.35,False,0,已解析,manual_review,恢复曲线复用试样ID,试样键可用,source_aggregate_plus_record_curves,ledger-092-habets-2024-commercial-tpu-data,数据/原始/外部数据/新增开放数据/Mendeley_商业TPU温度疲劳多工况/内容审计摘要.json;数据/原始/外部数据/新增开放数据/Mendeley_商业TPU温度疲劳多工况/曲线审计清单.tsv,5个TPU牌号、190物理试样、196历史；另99条TPV历史只作类比
source_mendeley_2sp8fyvhfm_v3,scope_mendeley_2sp8fyvhfm_v3,family_mendeley_aged_vegetable_puf,Mendeley_植物基PU泡沫温湿老化压缩,植物基聚氨酯泡沫温湿老化压缩原始数据,doi:10.17632/2sp8fyvhfm.3,PU泡沫温湿老化/压缩/DIC迁移,实验,迁移,Gold-E,admitted_reference,90,1,,9,90,90,90,88,0,0,360176,,360176,0,0,1,,,,,,降权,0.35,False,0,已解析,manual_review,两组精确重复已分组,试样键可用,source_aggregate_plus_record_curves,ledger-084-pires-da-silva-2023-aged-puf-data,数据/原始/外部数据/新增开放数据/Mendeley_植物基PU泡沫温湿老化压缩/内容审计摘要.json;数据/原始/外部数据/新增开放数据/Mendeley_植物基PU泡沫温湿老化压缩/曲线审计清单.tsv,90试样中默认88可用；同一未知配方不扩大化学空间
ledger_source_093,scope_mendeley_dbzdkz95f8_v1,family_fdm_tpu_cellular_mechanics,Mendeley_FDM_TPU晶格与基材力学,Experimental and Numerical Data for FDM-Printed PLA and TPU Cellular Structures under Compression and Bending,doi:10.17632/dbzdkz95f8.1,FDM TPU晶格/基材力学迁移,实验,迁移,Gold-E,admitted_reference,1282,1,,,76,76,76,57,1206,935,712240,,712240,0,0,1,,,,,,降权,0.35,False,0,部分已解析,manual_review,无完全重复曲线,试样组键可用,source_aggregate_plus_curve_and_scalar_records,ledger-093-tapia-2026-fdm-tpu-cellular-data,数据/原始/外部数据/新增开放数据/Mendeley_FDM_TPU晶格与基材力学/内容审计摘要.json;数据/原始/外部数据/新增开放数据/Mendeley_FDM_TPU晶格与基材力学/曲线审计清单.tsv;数据/原始/外部数据/新增开放数据/Mendeley_FDM_TPU晶格与基材力学/标量审计清单.tsv,57条曲线和935条标量通过来源汇总选择；其余冲突或未选
source_mendeley_x6b72k59xn_v1,scope_mendeley_x6b72k59xn_v1,family_dynamic_pu_foam,Mendeley_PU泡沫动态力学_精选表,温度依赖高应变率开孔聚氨酯泡沫数据,doi:10.17632/x6b72k59xn.1,PU泡沫温度/速率/吸能迁移,实验,迁移,Gold-E,conditional_reference,26,2,,,,14,14,2,105,0,32982,3275,33087,0,0,1,,,,,,仅验证,0.0,False,0,单位未解析,manual_review,复制列已识别,粗粒度来源家族,source_aggregate_partial_download,ledger-065-morrison-2023-dynamic-pu-foam-data,数据/原始/外部数据/新增开放数据/Mendeley_PU泡沫动态力学_精选表/内容审计摘要.json,绝对应力/模量/韧性/能量吸收当前硬零；仅Time/Force/Stroke与无量纲形状可审计
source_mendeley_wfsm6f9rbn_v1,scope_mendeley_wfsm6f9rbn_v1,family_sls_tpu,Mendeley_SLS_TPU工艺力学,SLS热塑性聚氨酯工艺与力学数据,doi:10.17632/wfsm6f9rbn.1,SLS TPU工艺—拉伸迁移,实验,迁移,Gold-E,admitted_reference,350,1,,,350,75,350,348,,,1787452,,1787452,0,0,1,,,,,,降权,0.35,False,0,部分已解析,manual_review,科学序列与文件重复已分组,工艺序列与试样键可用,source_aggregate,ledger-059-ciobotaru-2023-sls-tpu-data;ledger-060-ciobotaru-2024-sls-tpu,数据/原始/外部数据/新增开放数据/Mendeley_SLS_TPU工艺力学/内容审计摘要.json,单一EOS TPU1301；350试样/完整曲线来自75序列，2条负模量记录隔离
ledger_source_025,scope_tpu95a_mendeley_local_mirror,family_tpu95a,Mendeley_TPU95A_TPMS应变率力学,Strain Rate Dependent Mechanical Performance of 3D-Printed Isotropic TPMS-Based Lattices in Thermoplastic Polyurethane,doi:10.17632/mc6zh4cwhf.2,TPU95A应变率/松弛/几何迁移镜像,实验,迁移,Gold-E,blocked,12,1,,,12,12,12,0,0,0,47065,0,47065,0,0,1,,,,,,隔离,0.0,False,0,部分已解析,manual_review,与既有12曲线逐字节重复,粗粒度来源家族,source_aggregate_plus_record_curves,ledger-025-xu-2026-tpu95a,数据/原始/外部数据/新增开放数据/Mendeley_TPU95A_TPMS应变率力学/内容审计摘要.json;数据/原始/外部数据/新增开放数据/Mendeley_TPU95A_TPMS应变率力学/曲线解析清单.tsv,新目录增量科学样本为0
ledger_source_094,scope_mendeley_kysnxmy7xw_v1,family_tpu_experiment_simulation_curves,Mendeley_TPU实验仿真曲线,S-S Curve for TPU Experiment,doi:10.17632/kysnxmy7xw.1,TPU实验—仿真曲线对照,混合,迁移,Gold-E+Gold-C,admitted_reference,16,1,,,3,16,16,16,0,0,150462,150462,150462,0,1,1,,,,,,降权,0.35,False,0,部分已解析,manual_review,三重复公共点已识别,试样与仿真家族键可用,source_aggregate_plus_record_curves,ledger-094-mohd-azli-2023-tpu-curve-data,数据/原始/外部数据/新增开放数据/Mendeley_TPU实验仿真曲线/内容审计摘要.json;数据/原始/外部数据/新增开放数据/Mendeley_TPU实验仿真曲线/曲线审计清单.tsv,3条独立实验曲线；13条仿真曲线同一家族且协议不完整，仿真任务上限0.05
ledger_source_103,scope_mendeley_7zcd9bmmg5_v1,family_mendeley_tpu_compression_doe,Mendeley_TPU压缩打印DOE,Impact of Infill and Shell Design Features on Compression Stiffness in Material Extrusion of Thermoplastic Urethane,doi:10.17632/7zcd9bmmg5.1,打印工艺/几何—离散压缩响应,实验,迁移,Gold-E,admitted_reference,184,2,,,184,184,0,0,2664,1356,0,0,2796,0,0,1,1500,1372,1292,4,4,降权,0.35,False,0,部分已解析,manual_review,公式与直接值已分离,需物化DOE组键,source_aggregate_plus_scalar_records,ledger-103-wentz-2022-tpu-compression-doe-data,数据/原始/外部数据/新增开放数据/Mendeley_TPU压缩打印DOE/内容审计摘要.json;数据/原始/外部数据/新增开放数据/Mendeley_TPU压缩打印DOE/曲线审计清单.tsv,184物理试样；无连续曲线。direct_numeric_total=1500含载荷/面积等输入，不能全部当响应；complete_direct_response=1372=主候选直接响应1356+4个实心立方体对照试样产生的16个完整直接响应；valid_derived=1292；invalid_cached_pseudo_zero=4；missing_direct=4。scalar_count_observed=2664=1372+1292，仅计有效科学标量表示；scalar_count_candidate=1356，排除4个对照试样的16个响应、派生换算、伪零与缺失，避免重复监督
source_github_pcl_supplementary_cg,scope_pcl_git_lfs_supplement_local,family_pcl_soft_segment_cg,PCL_GitLFS轨迹补采,PCL系统粗粒化模型Git LFS轨迹固定仓库,https://github.com/pbacova/PCL_Supplementary_material_systematic_CG,PCL软段CGMD轨迹来源闭包,模拟,迁移,Gold-C,conditional_reference,10,0,0,0,0,10,0,0,0,0,10569,0,10569,0,1,0,,,,,,隔离,0.0,False,0,已解析,license_missing,与母来源同家族不重复计源,运行键完整,source_aggregate_plus_run_records,ledger-099-bacova-2025-pcl-soft-segment-data;ledger-100-bacova-2025-pcl-cg,数据/原始/外部数据/新增开放数据/PCL_GitLFS轨迹补采/内容审计摘要.json;数据/原始/外部数据/新增开放数据/PCL_GitLFS轨迹补采/轨迹审计清单.tsv,10个LFS载荷补采；同一DOI/固定树，独立来源贡献为0；权利缺口只阻断训练与再分发，不抹去固定版本轨迹的Gold-C条件参考身份
source_qub_83fdb865,scope_qub_83fdb865_dataset,family_qub_triple_self_healing_tpu,QUB_生物基三重自修复TPU,生物基三重自修复热塑性聚氨酯源数据,doi:10.17034/83fdb865-0ead-4c8b-81d2-59265a8810f3,生物基自愈TPU力学/循环/器件,实验,TPU核心,Gold-E,admitted_reference,79,4,4,,41,68,79,68,0,0,234822,224733,224733,0,0,1,,,,,,入选,1.0,False,0,部分已解析,manual_review,11条跨文件重复已隔离,配方与试样键可用,source_aggregate_plus_record_curves,ledger-075-griggs-2024-triple-healing-tpu-data;ledger-076-griggs-2024-triple-healing-tpu,数据/原始/外部数据/新增开放数据/QUB_生物基三重自修复TPU/内容审计摘要.json,41条本体单调拉伸独立试样；68条去重数值曲线
source_sciencedb_j00189_00045,scope_sciencedb_j00189_00045_dataset,family_sciencedb_microcellular_pu,ScienceDB_微孔PU动态力学,聚氨酯微孔弹性体动态压缩与抗冲击数据,doi:10.57760/sciencedb.j00189.00045,微孔PU冲击实验—仿真迁移,混合,迁移,Gold-E+Gold-C,admitted_reference,27,3,,,9,27,27,27,0,0,,,183689,0,1,1,,,,,,降权,0.3,False,0,部分已解析,manual_review,传感器通道与物理条件已分离,条件级键可用,source_aggregate,ledger-057-jiang-2024-microcellular-pu-data;ledger-058-zhao-2024-microcellular-pu,数据/原始/外部数据/新增开放数据/ScienceDB_微孔PU动态力学/内容审计摘要.json,9个物理条件/18通道；跌落11实验曲线+16模拟曲线
source_sciencedb_26393,scope_sciencedb_26393_v1,family_sciencedb_tpu_anf,ScienceDB_TPU芳纶纳米纤维能量吸收,3D打印TPU/芳纶纳米纤维多级结构图像数据,doi:10.57760/sciencedb.26393,TPU/ANF形貌证据与视觉候选,证据,证据,Not-Gold,evidence_only,19,,,,,,0,0,0,0,0,0,0,19,0,1,,,,,,仅验证,0.0,False,0,不适用,manual_review,19图哈希唯一,粗粒度来源家族,image_evidence_only,ledger-067-zhang-2025-tpu-anf-data,数据/原始/外部数据/新增开放数据/ScienceDB_TPU芳纶纳米纤维能量吸收/内容审计摘要.json;数据/原始/外部数据/新增开放数据/ScienceDB_TPU芳纶纳米纤维能量吸收/图像解析清单.tsv,无逐图配方/倍率/标尺/试样映射
