package_id,target_family,row_count,material_count,mapping_tier,model_admission_layer,source_independence_status,mapping_completeness_score,license,next_mapping_action
tecoflex_nic_multiperformance,partial_toughness_and_thermal_stability,4,4,commercial_grade_additive_fraction_mapped,core_tpu_composite_experimental,governed_materialization,0.78,CC-BY-4.0,补完整断裂曲线和同配方循环恢复数据
mendeley_tpu_partial_tensile_experiment,partial_toughness_application,3,1,TPU_grade_unreported,core_TPU_application_experimental,governed_materialization,0.15,CC-BY-4.0,补商业牌号、试样几何和断裂段；当前仅作100%应变部分能量
recycled_pu_foam_viscosity,processability_viscosity_reference,581,10,commercial_foam_code_only,polyurethane_foam_transfer,governed_materialization,0.35,CC-BY-4.0,补HDB/HA商业泡沫精确化学组成；保持动态压缩迁移层边界
tpms_fea_input_catalog,simulation_input_topology_reference,9,1,commercial_grade_only,simulation_input_reference,governed_materialization,0.35,CC-BY-4.0,补商业牌号化学组成或TDS
cast_pu_relaxation_curve_evidence,stress_relaxation_curve_evidence,59,2,commercial_task_code_only,unknown_chemistry_cast_PU_relaxation_auxiliary,governed_materialization,0.2,CC-BY-4.0,补Task 3/Task 11商业化学身份；仅作松弛条件迁移
biobased_vitrimer_relaxation_transfer,stress_relaxation_recovery_proxy,16,4,formulation_code_synthesis_family_mapped,dynamic_network_vitrimer_transfer,governed_materialization,0.2,CC-BY-4.0,仅作动态网络迁移；补论文Table 1缩写映射且不并入TPU核心
cast_pu_relaxation_condition_aggregate,stress_relaxation_recovery_proxy,20,2,commercial_task_code_only,unknown_chemistry_cast_PU_relaxation_auxiliary,governed_materialization,0.2,CC-BY-4.0,补Task 3/Task 11商业化学身份；仅作松弛条件迁移
standard_relaxation_proxy,stress_relaxation_recovery_proxy,2,2,commercial_grade_only,commercial_elastomer_auxiliary,governed_materialization,0.35,CC-BY-4.0,补商业牌号化学组成或TDS
tpu1301_relaxation_proxy,stress_relaxation_recovery_proxy,3,1,commercial_grade_only,core_tpu_application_experimental,governed_materialization,0.35,CC-BY-4.0,补商业牌号化学组成或TDS
tpu95a_relaxation_proxy,stress_relaxation_recovery_proxy,6,1,commercial_grade_only,core_tpu_application_experimental,historical_mirror_rematerialized_zero_new_source,0.35,CC-BY-4.0,补商业牌号化学组成或TDS
fdm_tpu_lattice_substrate_mechanics,stress_strain_energy_absorption_application_transfer,57,1,commercial_identity_unresolved,FDM_TPU_application_transfer,governed_materialization,0.15,CC-BY-4.0,确认商业TPU基体身份
solvent_free_pu_reaction_kinetics,synthesis_feasibility_reaction_window,21,21,monomer_pair_ratio_temperature_mapped,synthesis_kinetics_experimental,governed_materialization,0.9,CC-BY-4.0,补更密集滴定点和转化率复核；用于合成时间窗而非力学真值
recycled_pu_foam_thermal_conductivity,thermal_conductivity_auxiliary,7,7,commercial_foam_code_only,polyurethane_foam_transfer,governed_materialization,0.35,CC-BY-4.0,补HDB/HA商业泡沫精确化学组成；保持动态压缩迁移层边界
date_seed_tga,thermal_stability,5,4,composition_series_mapped,pu_pir_transfer,governed_materialization,0.6,CC-BY-4.0,补逐配方投料和唯一聚合物结构
drum_tga,thermal_stability,19,19,component_topology_mapped_partial,core_tpuu_experimental,governed_materialization,0.85,CC0-1.0,补PMCL区域异构分布与逐配方完整投料
low_ceiling_tpuu_tga,thermal_stability,4,4,formulation_code_only,core_tpuu_experimental,governed_materialization,0.3,CC0-1.0,从正文或SI恢复组分和比例
qub_self_healing_tga,thermal_stability,3,3,monomer_set_hard_segment_mapped,core_tpu_experimental,governed_materialization,0.88,CC-BY-4.0,补Pripol 2033与HEDS逐配方精确摩尔投料和唯一结构
self_healing_4tu_tga,thermal_stability,2,1,monomer_set_molar_composition_mapped,core_TPU_thermal_experimental,governed_materialization,0.92,CC-BY-4.0,补物理试样跨工作簿身份；保持交联PU迁移层边界
standard_tga,thermal_stability,2,2,commercial_grade_only,commercial_elastomer_auxiliary,governed_materialization,0.35,CC-BY-4.0,补商业牌号化学组成或TDS
tpu_footwear_tga,thermal_stability,3,3,commercial_grade_color_supplier_partial,commercial_footwear_elastomer_application,governed_materialization,0.45,CC-BY-4.0,补eTPU/TPU/PEBA精确商品型号；保留颜色与供应商映射状态
pu_copper_pyrolysis_tga_transfer,thermal_stability_pyrolysis_transfer,6,2,commercial_PU_enamel_identity_unresolved,pu_pyrolysis_thermal_transfer,governed_materialization,0.15,CC-BY-4.0,补漆包线PU配方；仅作含铜热解迁移并保留T50右删失
biobased_vitrimer_tga_transfer,thermal_stability_transfer,4,2,formulation_code_synthesis_family_mapped,dynamic_network_vitrimer_transfer,governed_materialization,0.2,CC-BY-4.0,仅作动态网络迁移；补论文Table 1缩写映射且不并入TPU核心
dib_shape_memory_thermal,thermal_stability_transfer,12,12,monomer_set_molar_composition_mapped,polyurethane_transfer,governed_materialization,0.92,CC-BY-4.0,补物理试样跨工作簿身份；保持交联PU迁移层边界
lignin_tpu_tga_transfer,thermal_stability_transfer,6,6,lignin_identity_commercial_tpu_grade_weight_fraction_mapped,lignin_TPU_carbon_fiber_precursor_transfer,governed_materialization,0.85,CC-BY-4.0,补前驱纤维重复数与完整拉伸曲线；保持碳化后纤维和TPU前驱体分层
microporous_pu_dma_transfer,thermomechanical_transition_auxiliary,3,3,density_grade_only,microporous_PU_dynamic_transfer,governed_materialization,0.4,CC-BY-4.0,补微孔PU化学配方与试样重复；保留DMA/SHPB动态迁移边界
drum_tensile,toughness,107,21,component_topology_mapped_partial,core_tpuu_experimental,governed_materialization,0.85,CC0-1.0,补PMCL区域异构分布与逐配方完整投料
standard_tensile,toughness,13,2,commercial_grade_only,commercial_elastomer_auxiliary,governed_materialization,0.35,CC-BY-4.0,补商业牌号化学组成或TDS
zenodo_porous,toughness,25,5,commercial_identity_unresolved,auxiliary_experimental,governed_materialization,0.15,CC-BY-4.0,确认商业TPU基体身份
figshare_healing,toughness_and_healing,5,3,material_code_only,core_tpu_experimental,governed_materialization,0.25,CC-BY-4.0,恢复材料代码对应配方
pu_microsphere_loading_hysteresis_transfer,toughness_and_hysteresis_transfer,6,6,microsphere_fraction_matrix_unresolved,PU_microsphere_composite_transfer,governed_materialization,0.25,CC-BY-4.0,补名义应力单位和PU基体化学身份；保留六级体积分数组成
conductive_self_healing_pu_tensile_recycling,toughness_and_recycling_transfer,8,5,base_PU_exact_composition_blend_solution_fraction_mapped,conductive_crosslinked_PU_composite_transfer,governed_materialization,0.8,CC-BY-4.0,补PEDOT:PSS与PU溶液固含量以换算干基配比；保持交联PU迁移层边界
qub_self_healing_tensile,toughness_and_self_healing,41,4,monomer_set_hard_segment_mapped,core_tpu_experimental,governed_materialization,0.88,CC-BY-4.0,补Pripol 2033与HEDS逐配方精确摩尔投料和唯一结构
shpu_self_healing_tensile,toughness_and_self_healing_transfer,7,4,material_code_only,supramolecular_PU_transfer,governed_materialization,0.25,CC-BY-4.0,恢复材料代码对应配方
phcu_dual,toughness_and_thermal,6,6,monomer_set_composition_mapped,polyurethane_adjacent_experimental,governed_materialization,0.72,CC-BY-4.0,补逐配方投料、嵌段长度和端基
tpu1301_tensile_application,toughness_application,17,1,commercial_grade_only,core_tpu_application_experimental,governed_materialization,0.35,CC-BY-4.0,补商业牌号化学组成或TDS
sls_tpu1301_gold_process_tensile,toughness_process_application,140,1,commercial_grade_only,core_tpu_application_experimental,governed_materialization,0.35,CC-BY-4.0,补商业牌号化学组成或TDS
sls_tpu1301_silver_process_tensile,toughness_process_application_silver,210,1,commercial_grade_only,SLS_TPU_process_silver,governed_materialization,0.35,CC-BY-4.0,补商业牌号化学组成或TDS
dib_shape_memory_tensile,toughness_transfer,37,12,monomer_set_molar_composition_mapped,polyurethane_transfer,governed_materialization,0.92,CC-BY-4.0,补物理试样跨工作簿身份；保持交联PU迁移层边界
pcf20_foam_tension_fracture,toughness_transfer,18,1,commercial_foam_grade_density_mapped,polyurethane_foam_transfer,governed_materialization,0.6,CC-BY-4.0,仅作泡沫断裂迁移；补完整化学牌号而不并入TPU核心
lignin_tpu_precursor_fiber_mechanical,toughness_transfer_summary,8,8,lignin_identity_commercial_tpu_grade_weight_fraction_mapped,lignin_TPU_carbon_fiber_precursor_transfer,governed_materialization,0.85,CC-BY-4.0,补前驱纤维重复数与完整拉伸曲线；保持碳化后纤维和TPU前驱体分层
